System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
13:25:16:403, 37592655594769,    0.127,   30.000, 3800,  14.899,   1.887,   0.524,  11.513,   1.459,   0.405, 58,  0,   0.000,   0.000,   0.000,   0.104,   0.013,   0.004,  24.000,  51.000, 105.000,   0.000,   0.000,  106,  79.236
13:25:16:527, 37592955601949,    0.251,   28.000, 2900,  14.480,   3.683,   1.023,  10.992,   2.822,   0.784, 61,  0,   0.000,   0.000,   0.000,   0.026,   0.016,   0.005,  24.000,  51.000, 105.000,   0.000,   0.000,   22,  74.842
13:25:16:649, 37593249901017,    0.372,   42.000, 2900,  16.907,   5.740,   1.594,  13.070,   4.412,   1.225, 60,  0,   0.000,   0.000,   0.000,   0.020,   0.019,   0.005,  24.000,  51.000, 105.000,   0.000,   0.000,    7,  89.617
13:25:16:772, 37593546947211,    0.495,   44.000, 2900,  17.883,   7.936,   2.204,  13.722,   6.097,   1.693, 62,  0,   0.000,   0.000,   0.000,   0.048,   0.025,   0.007,  24.000,  51.000, 105.000,   0.000,   0.000,   13,  89.595
13:25:16:896, 37593848610030,    0.620,   41.000, 3800,  19.413,  10.356,   2.877,  15.291,   8.003,   2.223, 60,  0,   0.000,   0.000,   0.000,   0.088,   0.036,   0.010,  24.000,  51.000, 105.000,   0.000,   0.000,   19,  89.788
13:25:17:020, 37594147911259,    0.744,   31.000, 3800,  14.156,  12.108,   3.363,   9.729,   9.207,   2.557, 54,  0,   0.000,   0.000,   0.000,   0.043,   0.041,   0.011,  24.000,  51.000, 105.000,   0.000,   0.000,  488,  33.259
13:25:17:129, 37594411837195,    0.853,   26.000, 2000,  14.124,  13.649,   3.791,   9.187,  10.209,   2.836, 52,  0,   0.000,   0.000,   0.000,   0.370,   0.081,   0.023,  24.000,  51.000, 105.000,   0.000,   0.000,  116,  50.529
13:25:17:253, 37594712420347,    0.977,   38.000, 1300,   6.043,  14.399,   4.000,   3.217,  10.609,   2.947, 51,  0,   0.000,   0.000,   0.000,   0.035,   0.086,   0.024,  24.000,  51.000, 105.000,   0.000,   0.000,   27,  75.271
13:25:17:379, 37595014944179,    1.102,   43.000, 1400,   6.012,  15.151,   4.209,   2.332,  10.900,   3.028, 50,  0,   0.000,   0.000,   0.000,   0.321,   0.126,   0.035,  24.000,  51.000, 105.000,   0.000,   0.000,  211,  62.547
13:25:17:502, 37595312577738,    1.225,   44.000, 2500,   5.324,  15.806,   4.391,   2.484,  11.206,   3.113, 51,  0,   0.000,   0.000,   0.000,   0.203,   0.151,   0.042,  24.000,  51.000, 105.000,   0.000,   0.000,  149,  73.187
