System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
14:02:35:121, 43008608379910,    0.105,   31.000, 3800,  13.196,   1.389,   0.386,   9.768,   1.028,   0.286, 58,  0,   0.000,   0.000,   0.000,   0.063,   0.007,   0.002,  24.000,  51.000, 105.000,   0.000,   0.000,   13,  65.399
14:02:35:245, 43008909512710,    0.230,   31.000, 2900,  17.035,   3.509,   0.975,  12.679,   2.606,   0.724, 66,  0,   0.000,   0.000,   0.000,   0.072,   0.016,   0.004,  24.000,  51.000, 105.000,   0.000,   0.000,   25,  86.906
14:02:35:371, 43009213173805,    0.355,   27.000, 2900,  13.685,   5.227,   1.452,  10.176,   3.884,   1.079, 64,  0,   0.000,   0.000,   0.000,   0.009,   0.017,   0.005,  24.000,  51.000, 105.000,   0.000,   0.000,   13,  74.290
14:02:35:510, 43009550683307,    0.495,   30.000, 2900,  14.365,   7.231,   2.009,  11.124,   5.436,   1.510, 52,  0,   0.000,   0.000,   0.000,   0.011,   0.018,   0.005,  24.000,  51.000, 105.000,   0.000,   0.000,   12,  88.173
14:02:35:619, 43009813715767,    0.603,   27.000, 2900,  15.488,   8.915,   2.476,  11.357,   6.670,   1.853, 61,  0,   0.000,   0.000,   0.000,   0.039,   0.022,   0.006,  24.000,  51.000, 105.000,   0.000,   0.000,    9,  87.459
14:02:35:725, 43010072265403,    0.710,   29.000, 2900,  15.218,  10.542,   2.928,  10.843,   7.829,   2.175, 63,  0,   0.000,   0.000,   0.000,   0.059,   0.029,   0.008,  24.000,  51.000, 105.000,   0.000,   0.000,   40,  83.111
14:02:35:850, 43010372998266,    0.835,   36.000, 3400,  17.368,  12.701,   3.528,  13.082,   9.456,   2.627, 62,  0,   0.000,   0.000,   0.000,   0.020,   0.031,   0.009,  24.000,  51.000, 105.000,   0.000,   0.000,   11,  86.466
14:02:35:989, 43010708669917,    0.973,   49.000, 3800,  18.107,  15.213,   4.226,  13.444,  11.321,   3.145, 60,  0,   0.000,   0.000,   0.000,   0.270,   0.069,   0.019,  24.000,  51.000, 105.000,   0.000,   0.000,  211,  65.461
14:02:36:111, 43011004690260,    1.096,   42.000, 2900,  19.165,  17.558,   4.877,  15.244,  13.186,   3.663, 64,  0,   0.000,   0.000,   0.000,   0.045,   0.074,   0.021,  24.000,  51.000, 105.000,   0.000,   0.000,  121,  45.953
14:02:36:236, 43011307404181,    1.221,   38.000, 2000,  12.070,  19.069,   5.297,   8.178,  14.210,   3.947, 52,  0,   0.000,   0.000,   0.000,   0.084,   0.085,   0.024,  24.000,  51.000, 105.000,   0.000,   0.000,   19,  84.601
14:02:36:360, 43011606908777,    1.345,   41.000, 3300,  12.195,  20.578,   5.716,   8.157,  15.219,   4.228, 55,  0,   0.000,   0.000,   0.000,   0.105,   0.098,   0.027,  24.000,  51.000, 105.000,   0.000,   0.000,   51,  86.767
14:02:36:485, 43011908829887,    1.470,   45.000, 3800,  13.587,  22.274,   6.187,   9.732,  16.434,   4.565, 57,  0,   0.000,   0.000,   0.000,   0.389,   0.146,   0.041,  24.000,  51.000, 105.000,   0.000,   0.000,   78,  93.512
14:02:36:596, 43012177860078,    1.581,   41.000, 1400,   9.484,  23.329,   6.480,   5.050,  16.996,   4.721, 52,  0,   0.000,   0.000,   0.000,   0.238,   0.173,   0.048,  24.000,  51.000, 105.000,   0.000,   0.000,   69,  85.622
14:02:36:716, 43012468653491,    1.701,   38.000, 3600,  13.137,  24.908,   6.919,   8.636,  18.034,   5.009, 51,  0,   0.000,   0.000,   0.000,   0.358,   0.216,   0.060,  24.000,  51.000, 105.000,   0.000,   0.000,  127,  80.987
14:02:36:856, 43012807160377,    1.841,   38.000, 3800,  14.071,  26.877,   7.466,   9.656,  19.385,   5.385, 53,  0,   0.000,   0.000,   0.000,   0.262,   0.252,   0.070,  24.000,  51.000, 105.000,   0.000,   0.000,  164,  71.571
14:02:36:979, 43013105196530,    1.964,   39.000, 2200,  10.961,  28.227,   7.841,   6.807,  20.223,   5.618, 50,  0,   0.000,   0.000,   0.000,   0.217,   0.279,   0.078,  24.000,  51.000, 105.000,   0.000,   0.000,  118,  70.200
14:02:37:129, 43013468600017,    2.114,   46.000, 2300,  14.758,  30.444,   8.457,  10.280,  21.768,   6.047, 57,  0,   0.000,   0.000,   0.000,   0.370,   0.335,   0.093,  24.000,  51.000, 105.000,   0.000,   0.000,   63,  85.365
14:02:37:244, 43013744961360,    2.229,   48.000, 3800,  18.595,  32.568,   9.047,  14.404,  23.413,   6.504, 56,  0,   0.000,   0.000,   0.000,   0.268,   0.365,   0.101,  24.000,  51.000, 105.000,   0.000,   0.000,   50,  90.027
14:02:37:367, 43014042297415,    2.351,   47.000, 3800,  21.371,  35.195,   9.776,  16.493,  25.440,   7.067, 60,  0,   0.000,   0.000,   0.000,   0.437,   0.419,   0.116,  24.000,  51.000, 105.000,   0.000,   0.000,  295,  55.779
